sequence,distribution,dimension,n,backend,order,input_sha256,input_generation_seconds,first_call_seconds,samples_seconds,median_seconds,q25_seconds,q75_seconds
sobol,normal,5,8192,cpu,0,ad69739a60fd2519ff40bcf4bbb7f720bc69b13a8766f1b12de391f7ad5142a2,1.1634873009998046,0.2586247029998958,"[0.0032741300001362106, 0.003267735999997967, 0.003189087999999174, 0.003276856000411499, 0.0032674840003892314, 0.003271524999945541, 0.0031884800000625546, 0.0031958909999048046, 0.003200079000180267, 0.0033120410002993594]",0.0032676100001935993,0.0031969379999736702,0.003273478750088543
sobol,normal,5,8192,gpu,1,ad69739a60fd2519ff40bcf4bbb7f720bc69b13a8766f1b12de391f7ad5142a2,1.1634873009998046,0.7486957289997918,"[0.00046020199988561217, 0.0005043630003456201, 0.000450999999884516, 0.00045240800000101444, 0.00045984499956830405, 0.0004836079997403431, 0.0004631020001397701, 0.0004538550001598196, 0.00046269099993878626, 0.0004347799999777635]",0.0004600234997269581,0.00045276975004071573,0.00046299925008952414
sobol,normal,5,32768,gpu,0,30a2dc8d8da3c7651b57c9db7de41a211bf4f045f4de2334031720604d37340b,1.186328144000072,0.7742189089999556,"[0.0005245050001576601, 0.0005399450001277728, 0.0005357410000215168, 0.0005246870000519266, 0.0005243949999567121, 0.0005124560002514045, 0.000514625000050728, 0.0005106249996060797, 0.000517025000135618, 0.0005132559999765363]",0.0005207100000461651,0.0005135982499950842,0.00052464150007836
sobol,normal,5,32768,cpu,1,30a2dc8d8da3c7651b57c9db7de41a211bf4f045f4de2334031720604d37340b,1.186328144000072,0.2677999219999947,"[0.013234245000148803, 0.012945892000061576, 0.013421174999621144, 0.013868984000055207, 0.01272666799968647, 0.013111510999806342, 0.013138207999872975, 0.012873229999968316, 0.013196377999975084, 0.012785226999767474]",0.013124859499839658,0.012891395499991631,0.013224778250105373
sobol,normal,10,128,cpu,0,d7f098b845b573e134d1f80d88f1c09bd96c9c8ec7da56b6322504dd3c45d25f,1.981539917000191,0.2510192959998676,"[9.821300000112387e-05, 8.191000006263494e-05, 7.731699997748365e-05, 8.277599999928498e-05, 0.0004320749999351392, 9.30619999053306e-05, 0.00010307000002285349, 8.123199995679897e-05, 8.647399999972549e-05, 7.504399991375976e-05]",8.462499999950523e-05,8.140149998325796e-05,9.692524997717555e-05
sobol,normal,10,128,gpu,1,d7f098b845b573e134d1f80d88f1c09bd96c9c8ec7da56b6322504dd3c45d25f,1.981539917000191,0.4993724350001685,"[0.0003286710002612381, 0.0003115230001640157, 0.00029839499984518625, 0.00031055299996296526, 0.0002911139999923762, 0.00030089699976088013, 0.00031403299999510637, 0.0002941490001830971, 0.0002936549999503768, 0.0002884159998757241]",0.0002996459998030332,0.0002937785000085569,0.0003112805001137531
sobol,normal,10,256,gpu,0,758c85f5a3d859b17e3a48fb013154168bbf5253d45ef5b042e5d7de5a2583cf,1.0775585940000383,0.5113993300001312,"[0.0002972800002680742, 0.0003067110001211404, 0.0003163850001328683, 0.00029029999996055267, 0.0002944249999927706, 0.00027784300027633435, 0.0002794310003082501, 0.0002758979999271105, 0.00027810399978989153, 0.000300182000046334]",0.00029236249997666164,0.00027843574991948117,0.00029945650010176905
sobol,normal,10,256,cpu,1,758c85f5a3d859b17e3a48fb013154168bbf5253d45ef5b042e5d7de5a2583cf,1.0775585940000383,0.24173875299993597,"[0.00015957799996613176, 0.0001699209997241269, 0.0001457710000067891, 0.0007456250000359432, 0.00016869699993549148, 0.00013192599999456434, 0.00018272599982083193, 0.0001337580001745664, 0.00013862199966752087, 0.00013025699990976136]",0.00015267449998646043,0.00013497400004780502,0.00016961499977696803
sobol,normal,10,512,cpu,0,b8c2d9ec81583f63605c56bc8e941a971b901012aef311d5144228587ae3e42e,1.1363429429998178,0.22104814099975556,"[0.00025810300030570943, 0.0002470289996381325, 0.00025647499978731503, 0.00025106300017796457, 0.0002498939998076821, 0.00023461799992219312, 0.0003276689999438531, 0.00026016299989350955, 0.0002575839998826268, 0.0002916099997491983]",0.0002570294998349709,0.00025018624990025273,0.0002596479999965595
sobol,normal,10,512,gpu,1,b8c2d9ec81583f63605c56bc8e941a971b901012aef311d5144228587ae3e42e,1.1363429429998178,0.5446560940004019,"[0.0002799740000227757, 0.00027947999979005544, 0.00030574299989893916, 0.00026481399982003495, 0.0002631190000101924, 0.0002536430001782719, 0.0002785860001495166, 0.00026124200030608336, 0.0002547830004004936, 0.00026179000042247935]",0.00026396649991511367,0.00026137900033518235,0.00027925649987992074
sobol,normal,10,2048,gpu,0,49f97a7b9bd0475f2980743dfdf469b3756096abbd340edd919fad32f305e8d8,1.2180903889998262,0.7017902250004227,"[0.0003377750003892288, 0.0003472769999461889, 0.0003828300000350282, 0.0003251829998589528, 0.00031384299973069574, 0.00039226699982464197, 0.0005438999996840721, 0.0004870739999205398, 0.0004469290001907211, 0.000458739999885438]",0.0003875484999298351,0.0003401505002784688,0.0004557872499617588
sobol,normal,10,2048,cpu,1,49f97a7b9bd0475f2980743dfdf469b3756096abbd340edd919fad32f305e8d8,1.2180903889998262,0.24090461200012214,"[0.0009756110002854257, 0.0010767969997687032, 0.001076710999768693, 0.0008783709999988787, 0.0009399149998898793, 0.0010186000004068774, 0.0008281229997919581, 0.0009064949999810779, 0.0008616869999968912, 0.0009109120001085103]",0.0009254134999991948,0.0008854019999944285,0.0010078527503765145
